COUNTY_NAME,COUNTY_CODE
ALAMEDA,01
ALPINE,02
AMADOR,03
BUTTE,04
CALAVERAS,05
COLUSA,06
CONTRA COSTA,07
DEL NORTE,08
ELDORADO,09
FRESNO,10
GLEN,11
HUMBOLDT,12
IMPERIAL,13
INYO,14
KERN,15
KINGS,16
LAKE,17
LASSEN,18
LOS ANGELES,19
MADERA,20
MARIN,21
MARIPOSA,22
MENDOCINO,23
MERCED,24
MODOC,25
MONO,26
MONTEREY,27
NAPA,28
NEVADA,29
ORANGE,30
PLACER,31
PLUMAS,31
RIVERSIDE,33
SACRAMENTO,34
SAN BENITO,35
SAN BERNARDINO,36
SAN DIEGO,37
SAN FRANCISCO,38
SAN JOAQUIN,39
SAN LUIS OBISPO,40
SAN MATEO,41
SANTA BARBARA,42
SANTA CLARA,43
SANTA CRUZ,44
SHASTA,45
SIERRA,46
SISKIYOU,47
SOLANO,48
SONOMA,49
STANISLAUS,50
SUTTER,51
TEHAMA,52
TRINITY,53
TULARE,54
TUOLUMNE,55
VENTURA,56
YOLO,57
YUBA,58
